Name,Latitude,Longitude
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.30620584090733,103.850530969624
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.28369258928085,103.816992390295
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.28629777221659,103.804489277779
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.28550478314618,103.822049361292
Bukit Panjang Hawker Centre,1.37760053528611,103.772489583206
Bukit Timah Market,1.33937596351523,103.775995008012
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.31615991374589,103.850225081031
Changi Village Blk 2 and 3,1.38915172065006,103.988245749103
Chomp Chomp Food Centre,1.36422852315868,103.866536130299
Ci Yuan Hawker Centre,1.37542896666561,103.882977999397
Circuit Road Blk 79/79A,1.32644992167231,103.885043500019
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.32784956142548,103.887128535137
Circuit Road Blk 89,1.32344525333847,103.885449224256
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.31436772839327,103.770836740843
Clementi Ave 3 Blk 448,1.31326486994113,103.764510533078
Clementi West Street 2 Blk 726,1.3037819726711,103.764264410293
Commonwealth Crescent Market,1.3068922760844,103.800362825517
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),1.29971330531884,103.797875477439
Dunman Food Centre,1.30941418731185,103.90182514721
East Coast Lagoon Food Village,1.30668431820832,103.935016747249
Empress Road Blk 7 (Empress Road Market and Food Centre),1.31624573118373,103.805636386821
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32146226027018,103.870004415152
Geylang Serai Market,1.3167281476983,103.898224315881
Ghim Moh Road Blk 20,1.31099627311591,103.788230657145
Golden Mile Food Centre,1.30287548090781,103.863883249985
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.3151420505272,103.895609494855
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28797543998733,103.829626834637
Hawker Centre @ Our Tampines Hub,1.35386211773287,103.939726160039
Shunfu Road Blk 320 (Shunfu Mart),1.35200744198417,103.837031803823
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.31708335109103,103.879417030673
Smith Street Blk 335 (Chinatown Complex Market),1.28223514826381,103.843177616296
Taman Jurong Market and Food Centre,1.33458935951076,103.721519868629
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.3456395210229,103.944624481151
Tanglin Halt Market,1.30078931480841,103.797625756738
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.27661461066321,103.843166992138
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.32084835041654,103.742891623681
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.27736683810318,103.818641695106
Eunos Crescent Blk 4A,1.32033178221424,103.904260878989
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.27336828250285,103.807626838954
Zion Riverside Food Centre,1.29234216757957,103.831189303546
Woodleigh Village Hawker Centre,1.3397961360031,103.872090241567
Anchorvale Village Hawker Centre,1.39691417603694,103.888489618777
Punggol Digital District Hawker Centre,1.41456688638677,103.908252830309
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.30811775909823,103.792773765463
Holland Village Market and Food Centre,1.31090802808558,103.794862936127
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.35383739101169,103.890081064953
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.35911942212642,103.885977616903
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.30241881353449,103.88394058022
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.28000481198881,103.826013285715
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.28695275198944,103.808127999318
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.28823055540002,103.839945947186
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.34531247026793,103.731579747132
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.34344213770991,103.737781231485
Jurong West Hawker Centre,1.3412597060095,103.697404254467
Jurong West Street 52 Blk 505,1.34964224318434,103.71844754363
Kallang Estate Fresh Market and Food Centre,1.30739616009942,103.884130183315
Redhill Lane Blk 85 (Redhill Food Centre),1.28733076703987,103.818338919994
Kampung Admiralty Hawker Centre,1.43993283228134,103.800696448529
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.30228513841822,103.906338526157
Marine Terrace Blk 50A (50A Marine Terrace),1.30577514781108,103.915761950557
Marsiling Lane Blk 20/21,1.44388181695611,103.777203165702
Maxwell Food Centre (Kim Hua Market),1.28011223513205,103.844827863123
Mei Chin Road Blk 159 (Mei Chin Road Market),1.29323622090658,103.802903901116
New Market Road Blk 32 (People's Park Food Centre),1.28499102169498,103.842578750107
New Upper Changi Road Blk 208B,1.32473884451035,103.93056047823
New Upper Changi Road Blk 58,1.32418782817919,103.941132372619
Newton Food Centre,1.31189235691653,103.839562687644
North Bridge Road Market,1.30576537802761,103.863891012338
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.30825156309798,103.885833217727
Pasir Panjang Food Centre,1.27590752450201,103.791402660553
Pasir Ris Central Hawker Centre,1.37343413973246,103.951543034782
Queen Street Blk 270 (Albert Centre),1.30100146521405,103.854211645499
Redhill Lane Blk 79 (Redhill Market),1.2878581025663,103.818402623449
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.37238494002145,103.828994204342
Serangoon Garden Market,1.3631571201113,103.866737484646
Telok Blangah Drive Blk 82 (Telok Blangah Market),1.27391379857001,103.807943567416
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.27271579716508,103.82211725658
Tiong Bahru Market,1.28508825756819,103.832348785334
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.33809268551386,103.84473162196
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.33454816495637,103.851999137527
Toa Payoh Lorong 4 Blk 93,1.3384747524617,103.849513484035
Toa Payoh Lorong 5 Blk 75,1.33603882157063,103.852941556275
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.33523145909678,103.857036007166
Toa Payoh Lorong 8 Blk 210,1.3402608349586,103.854395279214
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.31502804429519,103.871620273635
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.28524640047048,103.845818885585
West Coast Drive Blk 502 (Ayer Rajah Market),1.31188972115897,103.759166093858
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.31180301004196,103.759751321019
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.32294306204189,103.855137696535
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.32342175143826,103.85406806286
Yishun Park Hawker Centre,1.42501763803265,103.844747581861
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.43144768831222,103.828537609942
